image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
284,24,25,16,0.64,0.6667,0.6531,0.4848,22,22,14,0.6364,0.6364,0.6364,0.4667,46,47,30,0.6383,0.6522,0.6452,0.4762
286,18,18,18,1.0,1.0,1.0,1.0,11,11,6,0.5455,0.5455,0.5455,0.375,29,29,24,0.8276,0.8276,0.8276,0.7059
288,26,27,20,0.7407,0.7692,0.7547,0.6061,28,29,16,0.5517,0.5714,0.5614,0.3902,54,56,36,0.6429,0.6667,0.6545,0.4865
291,23,23,19,0.8261,0.8261,0.8261,0.7037,22,22,14,0.6364,0.6364,0.6364,0.4667,45,45,33,0.7333,0.7333,0.7333,0.5789
293,20,20,15,0.75,0.75,0.75,0.6,19,19,12,0.6316,0.6316,0.6316,0.4615,39,39,27,0.6923,0.6923,0.6923,0.5294
295,20,20,14,0.7,0.7,0.7,0.5385,14,14,8,0.5714,0.5714,0.5714,0.4,34,34,22,0.6471,0.6471,0.6471,0.4783
309,23,23,23,1.0,1.0,1.0,1.0,21,21,14,0.6667,0.6667,0.6667,0.5,44,44,37,0.8409,0.8409,0.8409,0.7255
310,20,20,13,0.65,0.65,0.65,0.4815,18,18,12,0.6667,0.6667,0.6667,0.5,38,38,25,0.6579,0.6579,0.6579,0.4902
315,14,14,9,0.6429,0.6429,0.6429,0.4737,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,17,0.6538,0.6538,0.6538,0.4857
319,14,14,14,1.0,1.0,1.0,1.0,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,22,0.8462,0.8462,0.8462,0.7333
322,18,18,17,0.9444,0.9444,0.9444,0.8947,16,16,10,0.625,0.625,0.625,0.4545,34,34,27,0.7941,0.7941,0.7941,0.6585
328,22,20,20,1.0,0.9091,0.9524,0.9091,20,20,12,0.6,0.6,0.6,0.4286,42,40,32,0.8,0.7619,0.7805,0.64
331,14,14,9,0.6429,0.6429,0.6429,0.4737,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,17,0.6538,0.6538,0.6538,0.4857
